iter	Passed	Remaining
602	1629	1072
603	1631	1069
604	1634	1067
605	1637	1064
606	1640	1061
607	1642	1059
608	1645	1056
609	1647	1053
610	1650	1050
611	1652	1047
612	1655	1045
613	1658	1042
614	1661	1039
615	1663	1037
616	1666	1034
617	1669	1031
618	1671	1028
619	1674	1026
620	1676	1023
621	1679	1020
622	1682	1017
623	1684	1015
624	1687	1012
625	1689	1009
626	1692	1006
627	1695	1004
628	1697	1001
629	1699	998
630	1702	995
631	1704	992
632	1707	990
633	1710	987
634	1712	984
635	1716	982
636	1718	979
637	1721	976
638	1724	974
639	1727	971
640	1729	968
641	1731	965
642	1734	962
643	1736	960
644	1739	957
645	1741	954
646	1744	951
647	1746	948
648	1749	946
649	1751	943
650	1754	940
651	1757	938
652	1760	935
653	1762	932
654	1765	929
655	1768	927
656	1771	924
657	1774	922
658	1776	919
659	1779	916
660	1781	913
661	1784	911
662	1787	908
663	1790	905
664	1792	903
665	1795	900
666	1798	897
667	1801	895
668	1804	892
669	1806	889
670	1809	887
671	1811	884
672	1814	881
673	1817	878
674	1819	876
675	1822	873
676	1825	870
677	1828	868
678	1830	865
679	1833	862
680	1836	860
681	1838	857
682	1841	854
683	1843	851
684	1846	848
685	1848	846
686	1850	843
687	1853	840
688	1855	837
689	1858	834
690	1860	832
691	1863	829
692	1865	826
693	1868	823
694	1870	820
695	1873	818
696	1875	815
697	1878	812
698	1881	810
699	1884	807
700	1887	804
701	1889	802
702	1892	799
703	1895	797
704	1898	794
705	1901	791
706	1904	789
707	1906	786
708	1909	783
709	1912	781
710	1915	778
711	1917	775
712	1920	772
713	1923	770
714	1925	767
715	1929	765
716	1931	762
717	1934	759
718	1937	757
719	1939	754
720	1942	751
721	1945	749
722	1948	746
723	1951	743
724	1953	741
725	1956	738
726	1959	735
727	1961	732
728	1964	730
729	1967	727
730	1969	724
731	1972	722
732	1975	719
733	1977	716
734	1981	714
735	1984	711
736	1987	709
737	1990	706
738	1992	703
739	1995	701
740	1998	698
741	2001	695
742	2003	693
743	2006	690
744	2009	687
745	2012	685
746	2015	682
747	2018	679
748	2020	677
749	2023	674
750	2026	671
751	2029	669
752	2031	666
753	2034	663
754	2037	661
755	2040	658
756	2043	655
757	2046	653
758	2049	650
759	2051	647
760	2053	645
761	2056	642
762	2059	639
763	2062	637
764	2064	634
765	2066	631
766	2069	628
767	2071	625
768	2074	623
769	2077	620
770	2079	617
771	2082	615
772	2084	612
773	2087	609
774	2089	606
775	2092	603
776	2094	601
777	2097	598
778	2099	595
779	2102	592
780	2104	590
781	2107	587
782	2109	584
783	2112	581
784	2114	579
785	2117	576
786	2119	573
787	2122	570
788	2124	568
789	2127	565
790	2129	562
791	2132	560
792	2135	557
793	2137	554
794	2140	551
795	2142	549
796	2145	546
797	2148	543
798	2151	541
799	2153	538
800	2157	536
801	2159	533
802	2162	530
803	2165	527
804	2168	525
805	2170	522
806	2173	519
807	2175	517
808	2178	514
809	2180	511
810	2183	508
811	2186	506
812	2188	503
813	2191	500
814	2193	497
815	2196	495
816	2199	492
817	2201	489
818	2205	487
819	2207	484
820	2210	481
821	2212	479
822	2215	476
823	2218	473
824	2221	471
825	2223	468
826	2226	465
827	2229	463
828	2231	460
829	2234	457
830	2237	454
831	2239	452
832	2242	449
833	2244	446
834	2247	444
835	2249	441
836	2252	438
837	2255	435
838	2257	433
839	2260	430
840	2262	427
841	2265	425
842	2268	422
843	2270	419
844	2273	416
845	2275	414
846	2278	411
847	2280	408
848	2284	406
849	2286	403
850	2289	400
851	2291	398
852	2295	395
853	2297	392
854	2300	390
855	2309	388
856	2312	385
857	2315	383
858	2318	380
859	2320	377
860	2323	375
861	2326	372
862	2329	369
863	2332	367
864	2334	364
865	2337	361
866	2340	359
867	2343	356
868	2346	353
869	2349	351
870	2352	348
871	2354	345
872	2357	342
873	2360	340
874	2362	337
875	2365	334
876	2367	332
877	2370	329
878	2372	326
879	2374	323
880	2377	321
881	2379	318
882	2382	315
883	2384	312
884	2386	310
885	2389	307
886	2391	304
887	2394	302
888	2397	299
889	2399	296
890	2402	293
891	2404	291
892	2407	288
893	2409	285
894	2412	282
895	2414	280
896	2417	277
897	2419	274
898	2421	272
899	2424	269
900	2426	266
901	2429	263
902	2431	261
903	2434	258
904	2436	255
905	2439	253
906	2441	250
907	2444	247
908	2446	244
909	2449	242
910	2452	239
911	2454	236
912	2457	234
913	2459	231
914	2462	228
915	2464	226
916	2467	223
917	2469	220
918	2472	217
919	2475	215
920	2477	212
921	2480	209
922	2482	207
923	2485	204
924	2487	201
925	2490	199
926	2493	196
927	2496	193
928	2498	190
929	2501	188
930	2504	185
931	2506	182
932	2509	180
933	2512	177
934	2514	174
935	2517	172
936	2520	169
937	2522	166
938	2525	164
939	2528	161
940	2531	158
941	2533	155
942	2536	153
943	2539	150
944	2542	147
945	2545	145
946	2548	142
947	2551	139
948	2553	137
949	2556	134
950	2559	131
951	2561	129
952	2564	126
953	2567	123
954	2569	121
955	2572	118
956	2575	115
957	2577	113
958	2580	110
959	2583	107
960	2585	104
961	2588	102
962	2590	99
963	2593	96
964	2596	94
965	2599	91
966	2602	88
967	2604	86
968	2607	83
969	2610	80
970	2613	78
971	2615	75
972	2618	72
973	2621	69
974	2623	67
975	2626	64
976	2628	61
977	2631	59
978	2634	56
979	2636	53
980	2639	51
981	2642	48
982	2645	45
983	2647	43
984	2650	40
985	2653	37
986	2656	34
987	2659	32
988	2661	29
989	2664	26
990	2667	24
991	2669	21
992	2672	18
993	2674	16
994	2677	13
995	2680	10
996	2682	8
997	2686	5
998	2688	2
999	2691	0
