region,per_capita_income_rub,median_income_per_capita_rub,milk_consumption_per_capita,sugar_consumption_per_capita,urban_population_pct,male_to_female_ratio,under_working_age_population_pct,working_age_population_pct,above_working_age_population_pct,dependency_ratio,birth_rate_per_1000,death_rate_per_1000,infant_mortality_per_1000_births,natural_increase_rate_per_1000,marriage_rate_per_1000,divorce_rate_per_1000,migration_increase_rate_per_10000,library_books_per_1000,library_users_total,milk_production_total,milk_production_per_cow,forest_coverage_pct,disease_incidence_infectious,disease_incidence_cancer,disease_incidence_blood,disease_incidence_endocrine,disease_incidence_nervous,disease_incidence_eye,disease_incidence_ear,disease_incidence_circulatory,disease_incidence_respiratory,disease_incidence_digestive,disease_incidence_skin,disease_incidence_musculoskeletal,disease_incidence_genitourinary,disease_incidence_congenital,disease_incidence_trauma,disease_incidence_all,air_pollutant_emissions,captured_air_pollutants_pct,wastewater_discharge,gross_preschool_coverage,qualified_workers_grads,mid_level_specialists_grads,bachelors_specialists_masters_grads,electronic_data_exchange_pct,personal_computer_households_pct,internet_access_households_pct,broadband_access_households_pct,daily_internet_usage_pct,bus_passenger_transport,buses_per_100000,unemployed_per_vacancy,stadiums_1500_seats,sports_facilities_fields,sports_facilities_gyms,sports_facilities_pools,alcoholism_patients_per_100k,drug_addiction_patients_per_100k,substance_abuse_patients_per_100k,disabled_population_per_1000,population_total,crimes_murder_attempts,crimes_grievous_bodily_harm,crimes_robbery,crimes_armed_robbery,crimes_hooliganism,crimes_drug_related,nominal_wages_avg_rub,poverty_rate_pct_region
Свердловская область,46187,35393.6,239,35,85.8,1161,19.8,55.9,24.3,790,9.4,13.9,4.7,-4.5,8.1,5.1,-12,3679,1631,846.058,8411,68.6,28.5,9.6,4.1,14.4,14.6,32.1,24.3,34.1,496.2,29.4,26.8,27.1,34,1.1,90.4,107.9,796,90.3,495.36,81.7245237,4.5,21.2,23.5,57.3,70.8,82.2,82,86.1,210.4,79.85070631,0.4165409182,44,4135,2770,265,500.4,150.5,3.5,65.9,4263.7,229,638,764,141,14,5153,55308,8.3
Тюменская область,59348,43583.8,177,37,81,1110,22.3,59.1,18.6,692,11.3,8.1,3.5,3.2,7.7,5.1,29,4115,1525,570.58,7640,35.4,28.4,9.8,4.8,15,11.7,21.4,20.9,25.7,510.6,24.5,34.1,23.8,37.8,1,78.2,117.3,2337,14.9,188.78,83.63556639,4.8,14,13.1,50.4,78.4,89.8,88.3,88.4,255.8,101.2922092,0.2233298064,23,3888,2346,285,540.1,111.7,1,45.5,3827.7,193,638,429,86,28,6133,94962,10.7
Ханты-Мансийский автономный округ — Югра,63454,49887.8,NA,NA,92.2,NA,22.6,60.9,16.5,643,11.1,6.5,3.2,4.6,7.4,5.3,50,3109,460,25.429,4373,53.7,28.8,9.8,3.8,15.6,12.2,18.6,22.2,21.5,485.7,25.9,41.6,28,39.2,1.2,94.6,97.9,1142,17.3,70.18,77.57192337,1.6,5.5,4,50.5,80.8,93.6,92.2,92.1,60.6,61,0.2429119161,4,1277,998,148,382.8,87.1,0.9,35.4,1713.8,66,237,172,28,18,2545,97562,7.2
Ямало-Ненецкий автономный округ,116639,76957.8,NA,NA,84.7,1075,23.2,63.8,13,568,13.2,5.5,3.5,7.7,8.3,5.4,-54,2702,557,2.584,4354,20.8,47.2,10.7,7.1,18.8,21.7,35.5,27.6,28.5,803.3,42.2,49.7,51,73,1.8,111.1,134.6,1032,0.1,28.94,91.84262421,0.5,1.9,NA,48.1,77.9,97.9,97.6,88,21.3,69.86906381,0.1358403684,NA,337,475,69,735.2,86.7,1.6,30,511.2,38,103,60,11,3,833,131516,4.5
Тюменская область без автономных округов,36682,29966.2,NA,NA,67.7,1056,21.7,55.7,22.6,796,11.1,10.7,3.8,0.4,7.9,4.9,32,5647,507,542.568,7729,44.1,22,9.5,5.2,13.2,8,20,17.5,29.3,444.1,17.3,21.2,10.7,25.2,0.4,50.3,132.5,163,50.9,89.66,87.45747208,2.7,6.5,9.1,51.7,76.1,82.7,80.8,84.4,173.9,155,0.2590989105,19,2274,873,68,647.1,146.2,1,62.1,1602.7,89,298,197,47,7,2755,61901,12.3
Челябинская область,33071,27417.9,193,34,82.6,1168,19.6,55.9,24.5,790,9.1,13.3,4.2,-4.2,7.4,5.1,0.05,4444,1331,374.742,6172,29.4,26.5,11.5,3.7,14.8,15.3,23.8,23.2,34.7,476.7,27.9,45.4,28.7,32.7,3.2,115.9,70.7,425,84.3,286.92,87.49894149,3.7,15.9,16,55.5,74.1,90.5,90.2,83.3,105.5,94.00832662,0.4427234686,37,3411,1885,100,644.8,187.3,4.3,65.9,3421.6,168,528,1239,122,20,7270,50104,11.3
Республика Алтай,27940,21882.7,275,32,30.8,1173,27.1,55,17.9,818,13.1,11.6,8.2,1.5,8.5,6.4,-17,6929,118,72.324,3858,44.8,34,12.5,7.5,11.9,17,55.1,21.2,26.4,439.3,38,55.1,25.9,54,2.5,67.6,84,8,7.2,0.29,76.63617942,0.5,1.3,0.5,53.7,51.3,91.4,91.4,85,9.6,75.4380388,3.653846154,8,181,147,2,633.9,93.9,3.8,96,210.8,19,43,31,3,1,336,43974,20
Республика Тыва,23049,18691.1,184,25,55.3,1120,33.5,55.8,10.7,792,17.7,8.6,4.2,9.1,7.3,3.3,-61,8758,155,66.769,1078,49.4,38,3.7,5.9,16.2,11.1,25.1,17.8,20.7,289.6,17.4,41.2,9.7,28.9,1.5,82.9,84.2,9,41.1,5.61,65.37175004,0.9,1.6,1,49.7,67.4,92.9,91.8,85,12.1,93.98969968,4.474331164,10,433,240,4,880.3,139.4,0.3,70.8,336.3,109,323,144,18,1,568,51782,27.2
Республика Хакасия,28963,24716.9,254,33,68.7,1118,21.8,55.6,22.6,800,9.4,13.3,5.2,-3.9,8,5.7,-13,5803,209,124.346,4628,49.9,20.3,8.8,4,16.5,33.5,18.1,21.4,41.2,394.5,26.1,38.9,24.5,44.1,0.9,121.5,122.5,107,75.8,30.69,81.45531709,0.9,2.2,1.6,48.1,66,84,83.3,82.3,15.5,80.15344198,0.568956094,21,588,277,30,680.8,188.2,1.7,54,533,34,134,122,18,13,1091,54522,18
Алтайский край,31145,24037,257,38,58.3,1177,19.6,54.5,25.9,834,8.2,15.8,4,-7.6,7.3,5,-36,6081,815,1140.444,5604,23,18.8,20.4,5.4,25.5,22.4,34.7,23,46.1,609.3,49.4,38.1,51.2,88.8,1.7,90.2,108.9,195,85,13.3,70.84782752,3.8,9,8.4,55,71.7,86.3,84.1,79.7,89.3,83.81238415,0.7257614758,47,3150,1714,96,1030.3,174.3,1.1,76.9,2154.9,127,401,436,52,3,4123,39270,15.4
